id,title,description,price,largeur,profondeur,hauteur,disponibilite,images,color,seat,reference,quantity,miniDescription,fabricType,brand,ecoMobilier,typeCanape,ean,poids,garantie
11,Rétro Chic,"Le canapé Rétro Chic incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Rétro Chic, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",649.99,240 cm,100 cm,75 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/19/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/19/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/19/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/19/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/19/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/19/6.png""]",Gris,1,57379WD,1,"[""Rétro Chic offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Rétro Chic, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Ikea,40,standard,5430325104829,33,2
12,Graphique Moderne,"Le canapé Graphique Moderne incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Graphique Moderne, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",999.99,300 cm,200 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/20/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/20/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/20/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/20/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/20/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/20/5.png""]",Noir,6,96316ME,1,"[""Graphique Moderne offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Graphique Moderne, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Roche Bobois,10,standard,5382862934762,12,6
13,Artisan Boho,"Le canapé Artisan Boho incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Artisan Boho, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",749.99,250 cm,150 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/21/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/21/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/21/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/21/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/21/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/21/4.png""]",Gris,1,54905QV,1,"[""Artisan Boho offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Artisan Boho, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Habitat,34,standard,8219818001659,31,6
14,Vague Zen,"Le canapé Vague Zen incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Vague Zen, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",1499.99,200 cm,100 cm,85 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/22/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/22/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/22/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/22/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/22/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/22/6.png""]",Bleu,7,15141KZ,1,"[""Vague Zen offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Vague Zen, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,But,39,standard,2335727985650,62,10
15,Modulable Infini,"Le canapé Modulable Infini incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Modulable Infini, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",599.99,220 cm,90 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/23/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/23/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/23/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/23/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/23/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/23/6.png""]",Vert,4,20989ZK,3,"[""Modulable Infini offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Modulable Infini, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Maisons du Monde,24,standard,6545350138009,11,4
16,Nid Architectural,"Le canapé Nid Architectural incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Nid Architectural, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",699.99,200 cm,95 cm,85 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/24/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/24/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/24/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/24/4.avif"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/24/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/24/5.png""]",Noir,1,39877DQ,1,"[""Nid Architectural offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Nid Architectural, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",cuir,Conforama,49,standard,9193426290301,97,6
17,Cottage Cosy,"Le canapé Cottage Cosy incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Cottage Cosy, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",1099.99,210 cm,100 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/25/5.png""]",Gris,2,59895DC,1,"[""Cottage Cosy offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Cottage Cosy, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Ligne Roset,46,standard,4932798682343,39,2
18,Modul’Flex,"Le canapé Modul’Flex incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Modul’Flex, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",1099.99,300 cm,150 cm,90 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/27/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/27/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/27/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/27/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/27/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/27/6.png""]",Beige,7,34873NX,1,"[""Modul’Flex offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Modul’Flex, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Muuto,46,standard,4715517999316,47,10
19,Atelier Cuir,"Le canapé Atelier Cuir incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Atelier Cuir, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",799.99,210 cm,95 cm,85 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/28/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/28/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/28/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/28/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/28/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/28/6.png""]",Gris,3,74435QL,1,"[""Atelier Cuir offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Atelier Cuir, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,West Elm,44,standard,3466156391682,11,2
20,Rotin Riviera,"Le canapé Rotin Riviera incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Rotin Riviera, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",749.99,220 cm,110 cm,90 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/29/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/29/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/29/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/29/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/29/6.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/29/5.png""]",Gris,1,80799VD,1,"[""Rotin Riviera offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Rotin Riviera, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",cuir,Fermob,9,standard,6225432426048,73,10
21,Lin Plume,"Le canapé Lin Plume incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Lin Plume, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",899.99,240 cm,100 cm,95 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/3/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/3/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/3/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/3/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/3/6.png""]",Gris,4,21285YY,1,"[""Lin Plume offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Lin Plume, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Ikea,42,standard,4305468351386,69,4
22,Pop Art,"Le canapé Pop Art incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Pop Art, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",649.99,220 cm,100 cm,85 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/30/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/30/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/30/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/30/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/30/6.ong.avif"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/30/5.png""]",Vert,3,57414MW,1,"[""Pop Art offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Pop Art, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Roche Bobois,6,standard,6494778176123,30,8
23,Rêve Velours,"Le canapé Rêve Velours incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Rêve Velours, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",899.99,270 cm,150 cm,85 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/31/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/31/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/31/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/31/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/31/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/31/1.png""]",Blanc,8,84426RT,1,"[""Rêve Velours offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Rêve Velours, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Habitat,22,standard,9315628739927,42,7
24,Familial tiger,"Le canapé Familial XL incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Familial XL, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",2999.99,230 cm,100 cm,90 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/32/6.png""]",Rouge,4,54863IK,1,"[""Familial XL offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Familial XL, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,But,49,standard,5276940446605,85,9
25,Bulle Design,"Le canapé Bulle Design incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Bulle Design, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",799.99,240 cm,120 cm,85 cm,true,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/33/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/33/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/33/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/33/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/33/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/33/6.png""]",Bleu,7,63421AZ,1,"[""Bulle Design offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Bulle Design, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",tissu,Maisons du Monde,6,standard,4609263796668,67,8
26,Suède Sierra,"Le canapé Suède Sierra incarne l'alliance parfaite entre esthétique et confort absolu. Ses finitions soignées reflètent un savoir-faire artisanal hors pair. Le revêtement de qualité supérieure assure une durabilité remarquable au fil des années. Vous profiterez d'une assise moelleuse tout en conservant un bon maintien lombaire. Son design contemporain s'adapte harmonieusement à tous les styles d'intérieur. Les accoudoirs généreux et épurés offrent un soutien optimal pour vos moments de détente. Compact ou imposant, ce canapé s'intègre aussi bien dans un petit salon que dans une vaste pièce à vivre. La structure robuste garantit une stabilité et une longévité accrues. Les coussins déhoussables facilitent l'entretien et le nettoyage régulier. Opter pour le canapé Suède Sierra, c'est choisir une pièce maîtresse pour sublimer votre décoration intérieure.",1299.99,230 cm,120 cm,95 cm,false,"[""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/35/1.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/35/2.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/35/3.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/35/4.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/35/5.png"",""https://pejotrvfcsqfdakpnqil.supabase.co/storage/v1/object/public/canapes-images-client/35/6.png""]",Blanc,4,58751DG,1,"[""Suède Sierra offre une assise moelleuse pensée pour vous envelopper dès le premier contact."",""Son revêtement de qualité supérieure assure une résistance optimale et un toucher délicat."",""Le design de Suède Sierra, à la fois épuré et audacieux, apporte une touche de caractère à votre intérieur.""]",cuir,Conforama,49,standard,7817734807357,31,5
